Name,Citations_All,H-Index_All,i10-Index_All,Journals,Journal Description,No. of Journals
Dr.Poomagal S,60,4,3,A novel method for clustering tweets in twitter,A popular social networking service called Twitter is used to post short messages that could be useful to someone in the world. These messages have been analysed by the researchers in different ways. This paper proposes a clustering technique to cluster the tweets in the Twitter. The basic aim of performing this clustering is to identify the groups of similar tweets posted and this information is useful to identify various user communities. These user communities can be recommended to the advertisers in Twitter by matching their topic of interest with the advertisers' field. Suffix Tree Clustering (STC) algorithm is the core web documents clustering algorithm which groups similar documents into clusters by constructing suffix tree. We used STC along with semantic similarity among the posted tweets to identify the topics of interest. The proposed method is compared with STC and Lingo algorithms using intra–cluster …,11
Dr.Poomagal S,60,4,3,K-means for search results clustering using url and tag contents,"Increasing volume of web has resulted in the flooding of huge collection of web documents in search results creating difficulty for the user to browse the necessary document. Clustering is a solution to organize search results in a better way for browsing. It is a process of combining similar web documents into groups. For web page clustering, terms (features) can be extracted from different parts of a web page. Giansalvatore, Salvatore and Alessandro have extracted terms from entire web page for clustering Stanis law Osinski et al., have considered terms only from snippets. A new method is introduced in this paper which extract terms from URL, Title tag and Meta tag to produce clusters of web documents. The reason for selecting these parts of a web page is that they contain keywords which are available in a web page. Clustering algorithm used in this paper is K-means. Proposed method of clustering is compared �",11
Dr.Poomagal S,60,4,3,A novel method for selecting initial centroids in K-means clustering algorithm,"In data mining, clustering is a method of grouping similar points together. This grouping can be done using partitioning or hierarchical clustering algorithms. K-means is one of the partitioning clustering algorithms which is simple and faster than other clustering algorithms. Major drawbacks of K-means algorithm are the selection of initial centroids and number of clusters (K). This paper aims at providing a solution for selecting initial centroids in which a new point is calculated at each iteration and the point in the dataset which is closest to the calculated point is selected as the centroid. The performance of the proposed work is compared with existing methods using four datasets collected from UCI repository. From the results, it is proved that the proposed work increases accuracy by 88.74% for Iris dataset, 28.18% for Breast cancer dataset, 34.03% for Seeds dataset and 18.18% for PIMA I Diabetes dataset over the …",11
Dr.Poomagal S,60,4,3,Optimized k-means clustering with intelligent initial centroid selection for web search using URL and tag contents,"With the vast amount of information available online, searching results for a given query requires the user to go through many titles and snippets. This searching time can be reduced by clustering search results into clusters so that the user can select the relevant cluster at a glance by looking at the cluster labels. For web page clustering, terms (features) can be extracted from different parts of the web page. Giansalvatore, Salvatore and Alessandro have extracted terms from the entire web page for clustering. Number of terms returned in this case is more and it produces lengthy vectors. To reduce the size of the vector, Stanis law Osinski et al., and Ahmed Sameh and Amar Kadray have considered terms from the snippets.",11
Dr.Poomagal S,60,4,3,A novel Tag Score (T_S) model with improved K-means for clustering tweets,"Clustering of tweets is useful for analyzing the attitudes of people towards a particular product. The companies can use this analysis to modify their products to meet the needs of people. Recently, K-means clustering is widely used to cluster the tweets with bag of words as a feature set. The key factors contributing to the quality of clusters and performance of clustering are dimensionality reduction and initial selection of centroids. This paper addresses these issues using a newly proposed Tag Score (T_S) model with improved K-means in which semantically similar features from bag of words are grouped into tags, scores are modified based on sentiment polarity values and the initial centroids are selected with the help of sentiment scores. The performance of the proposed T_S model with improved K-means is compared with T_S model with random K-means and conventional word vectors with random K …",11
Dr.Poomagal S,60,4,3,Cosine similarity-based PageRank calculation,"This paper introduces a new method for calculating the rank of a web page based on the content similarity and the link structure. There are different ranking algorithms available in the literature to calculate the importance score of web pages. The basis of all ranking algorithms is the link structure of the web. Since links from similar documents are more important than the links from other dissimilar documents, combining content similarity with link structure assigns higher ranks to more relevant documents. Cosine similarity measure is used in this paper for calculating similarity among the documents. The proposed technique is compared with existing ranking algorithms using precision, recall and F-measure.",11
Dr.Poomagal S,60,4,3,Semantic similarity-based PageRank using wordnet,"With the huge volume of web pages that exist today, search engines play an important role in finding the required information. It orders search results by performing link analysis. However, existing link analysis techniques have not considered the semantic similarity among the linked documents for rank calculation. Since links from semantically similar documents are more important than the links from other dissimilar documents, this work introduces a new method for ranking web pages based on the semantic similarity among the web pages and the link structure. Wu and Palmer (1994) measure of wordnet is used to find the semantic relationship between the terms in different documents. Cosine similarity measure is used to find the similarity among the documents. Proposed technique is compared with existing ranking algorithms using the measures precision, recall and F-measure. From the results, it is observed …",11
Dr.Poomagal S,60,4,3,Optimised K-means for web search,"With the vast amount of information available online, searching documents relevant to a given query requires the user to go through many titles and snippets. This searching time can be reduced by grouping search results into clusters so that the user can select the relevant cluster at a glance by looking at the cluster labels. A new method of search results clustering is introduced in this paper which clusters the search results using optimised K-means algorithm using the terms from URL, title tag and meta tag as features. Optimisation of K-means algorithm is done by selecting the initial centroids using scale factor method. The proposed method of clustering is compared with existing snippet clustering algorithms in terms of intra-cluster distance and inter-cluster distance. Results show that the proposed method produces high quality clusters than the existing methods.",11
Dr.Poomagal S,60,4,3,"Sentiment Thesaurus, Synset and Word2Vec Based Improvement in Bigram Model for Classifying Product Reviews","Classifying product reviews is one of the tasks in Natural Language Processing by which the sentiment of the reviewer towards a product can be identified. This identification is useful for the growth of the business by increasing the number of satisfied customers through product quality improvement. Bigram models are more popular in performing this classification since it considers the occurrence of two words consecutively in the reviews. In the existing works on bigram models, semantically similar words to the words present in bigrams are not considered. As the reviewers use different words with the same meaning to express their feeling, we proposed improved bigram models in which semantically similar words to the words in bigrams are also used for classifying the reviews. In the proposed models, sentiment polarity thesaurus is constructed by including sentiment words and their synonyms. The combinations of …",11
Dr.Poomagal S,60,4,3,Product review classification using LSA with improved feature weight model,"Product review classification plays a vital role in understanding the likes and dislikes of users of the product. This analysis can be utilized to improve the quality of product as expected by users. In this paper, classification of reviews is performed using Naïve Bayes and K-nearest neighbor algorithms. The key factors contributing to improving classification performance are proper feature weights and less number of dimensions. To improve feature weights, a novel feature weight modification technique is proposed which is based on sentiment scores of the Synset words of input set of words. And to reduce the number of dimensions, we used Latent Semantic Analysis (LSA) technique. From the results, it is proved that the proposed method of modifying weights gives significant improvement in classification performance",11
