Name,Research Areas
Dr.Thilaga M,Computational Neuroscience
Dr.Thilaga M, Cognitive Modelling And Analysis
Dr.Thilaga M, Social Network Analysis
Dr.Thilaga M, Graph Data Mining
Dr.Mohan K,Cloud Computing
Dr.Mohan K, Component Based Software Engineering
Dr.Mohan K, Service Oriented Architecture And Web Services
Dr.Mohan K, Artificial Intelligence
Dr.Mohan K, Soft Computing
Dr.Poomagal S,Natural Language Processing
Dr.Poomagal S, Machine Learning
Dr.Poomagal S, Sentimental Analysis
Dr.Sasikumar M,Wireless Sensor Networks
Mrs.Brindha N,Information Retrieval
Mrs.Deepa S,Wireless Networks
Mrs.Deepa S, Machine Learning
Dr.Sai Sundara Krishnan G,Algebraic Topology
Dr.Sai Sundara Krishnan G, Digital Topology
Dr.Malar B,Machine Learning
Dr.Malar B, Deep Learning
Dr.Malar B, Natural Language Processing
Dr.Periakaruppan R M,Data Mining
Dr.Periakaruppan R M, Optimization Techniques
Dr.Mohanraj N,Agile Modeling
Dr.Anandhi S,Design And Analysis Of Security Protocols
Dr.Megala M,Web Security
Mrs.Parisa Begum K,Data Management In Pervasive Computing Environment
Dr.Jeevadoss S,Graph Theory And Its Applications
Dr.Lekshmi R S,Graph Theory
Dr.Lekshmi R S, Graph Algorithms
Dr.Indhumathi R,Graph Algorithms
Dr.Indhumathi R," Theory Of Computing, Mathematical Foundations Of Computer Science"
Dr.Indhumathi R, Applied Mathematics For Computer Science E
Dr.Indhumathi R, Graph Theory And Its Applications
Dr.Indhumathi R, Mathematical Biology
Dr.Senthil Kumaran V,Intelligent Information Retrieval
Dr.Senthil Kumaran V, Operating Systems
Dr.Senthil Kumaran V, Semantic Web
Dr.Senthil Kumaran V, Service Oriented Architecture And Web Services
Dr.Poonthalir G,Machine Learning
Dr.Poonthalir G, Deep Learning
Dr.Poonthalir G, Soft Computing
Dr.Poonthalir G, Computational Intelligence
Dr.Poonthalir G, Swarm Intelligence
Dr.Poonthalir G, Optimization Techniques
Dr.Poonthalir G,  Vehicle Routing
Mr.Muthusamy A,None
Dr.Kaja Mohideen A,Data Mining
Dr.Kaja Mohideen A, Evolutionary Algorithms
Dr.Kaja Mohideen A, Digital Image Processing
Dr.Sreeja N K,Swarm Intelligence
Dr.Sreeja N K, Evolutionary Algorithms
Dr.Sreeja N K, Pattern Recognition
Dr.Sreeja N K, Soft Computing
Mr.Shakthiganesan M,Topology
Dr.Sivakumar M,Stability Analysis
Dr.Sivakumar M, Mathematical Biology
Dr.Senthil Kumar M,Differential Equations
Dr.Senthil Kumar M, Stochastic Models
Dr.Senthil Kumar M, Optimization Techniques
Dr.Senthil Kumar M, Epidemic Models On Complex Networks
Dr.Latha R,Recommender Systems
Dr.Latha R, Information Retrieval
Dr.Latha R, Machine Learning 
Dr.Latha R, Privacy Preserving  Data Mining
Dr.Sreelaja N K,Cryptography
Dr.Sreelaja N K, Swarm Intelligence
Dr.Sreelaja N K, Security In Computing
Dr.Sreelaja N K, Computer Forensics
Dr.Sridevi UK,Data Mining
Dr.Sridevi UK, Big Data Analytics
Dr.Sridevi UK, Information Retrieval
Mr.Kumaresan M,Applied Mathematics For Computer Science E
Mr.Kumaresan M, Machine Learning 
Dr.Krishnasamy R,Differential Equations
Dr.Krishnasamy R, Linear Algebra
Dr.Krishnasamy R, Probability And Random Processes
Dr.Krishnasamy R, Complex Networked Systems
Ms.Santhi A,None
Dr.Regis Anne W, Wireless Sensor Networks
Dr.Regis Anne W, Machine Learning
Dr.Regis Anne W, Deep Learning
Dr.Shina Sheen,Information Security
Dr.Shina Sheen, Ransomware Attack Detection
Dr.Suresh Kumar V,Security Protocols And Formal Methods
Dr.Suresh Kumar V, Authentication Protocols For Wsn And Rfid
Dr.Suresh Kumar V, Analysis Of Electronic Voting And Payment Protocols
Dr.Thanalakshmi P,Cryptography
Mrs.Suganthi S D, Wireless Sensor Networks
Mrs.Suganthi S D, Network Security
Mrs.Kasthuri Bai M,None
Dr.Priya R,Information Security
Dr.Priya R, Image And Video Processing
Dr.Kirubavathi G,Cryptography And Network Security
Dr.Kirubavathi G, Cyber Security
Ms.Kiruthika J,None
Dr.Anitha R,Cryptography
Dr.Anitha R, Graph Theory
Dr.Anitha R, Queueing Models
Dr.Anitha R, Cyber Security
